sym,N,t,exit,R,days,stop_pct
BTC,5,2013-02-26 08:00:00,2013-03-07 00:00:00,21.884650756867924,8.666666666666666,1.0593920819796412
BTC,5,2013-03-09 08:00:00,2013-03-12 00:00:00,0.06044906149576032,2.6666666666666665,7.80617136393534
BTC,5,2013-03-19 08:00:00,2013-03-23 08:00:00,2.98334371157601,4.0,6.121290248720083
BTC,5,2013-03-26 08:00:00,2013-04-10 16:00:00,14.03321102003704,15.333333333333334,9.915605678449486
BTC,5,2013-04-19 08:00:00,2013-04-25 20:00:00,0.09177330899250852,6.5,31.618395629942498
BTC,5,2013-05-11 08:00:00,2013-05-11 20:00:00,-1.1886536796348595,0.5,0.820741223044668
BTC,5,2013-05-18 08:00:00,2013-05-22 12:00:00,-0.027596992206639206,4.166666666666667,4.611828167415547
BTC,5,2013-05-23 08:00:00,2013-05-27 16:00:00,2.2839803962665286,4.333333333333333,1.587146205602546
BTC,5,2013-05-30 08:00:00,2013-05-30 16:00:00,-1.106848587413624,0.3333333333333333,1.401232875875379
BTC,5,2013-06-19 08:00:00,2013-06-21 00:00:00,-0.9017141612872429,1.6666666666666667,3.385894521000827
BTC,5,2013-07-11 08:00:00,2013-07-16 12:00:00,0.3472549263617684,5.166666666666667,11.94162137661393
BTC,5,2013-07-24 08:00:00,2013-07-24 12:00:00,-1.1596465829942229,0.16666666666666666,0.9071197975200862
BTC,5,2013-07-25 08:00:00,2013-07-27 08:00:00,-0.1510385662947483,2.0,1.305875861021737
BTC,5,2013-07-29 08:00:00,2013-08-02 08:00:00,1.0766800904340328,4.0,2.3469957698707598
BTC,5,2013-08-14 08:00:00,2013-08-16 12:00:00,-0.7262804268768256,2.1666666666666665,4.493867956618355
BTC,5,2013-08-20 08:00:00,2013-08-20 12:00:00,-1.0582519760525915,0.16666666666666666,2.4806689147607357
BTC,5,2013-08-21 08:00:00,2013-08-23 08:00:00,-0.36906448231566624,2.0,4.603821813615475
BTC,5,2013-08-26 08:00:00,2013-08-26 12:00:00,-1.062397041025428,0.16666666666666666,2.3164034213868785
BTC,5,2013-08-28 08:00:00,2013-09-04 16:00:00,2.0152978237999517,7.333333333333333,4.1287632884382
BTC,5,2013-09-12 08:00:00,2013-09-14 16:00:00,-0.5176893967924179,2.3333333333333335,2.444114351732832
BTC,5,2013-09-27 08:00:00,2013-09-30 08:00:00,-0.3252200497539721,3.0,1.308130874822239
BTC,5,2013-10-08 08:00:00,2013-10-09 08:00:00,-0.3961388095601723,1.0,2.5302079553362384
BTC,5,2013-10-10 08:00:00,2013-10-17 00:00:00,3.4985179147476324,6.666666666666667,1.9562703857355261
BTC,5,2013-10-18 08:00:00,2013-10-24 04:00:00,4.780767110824839,5.833333333333333,3.9019729568012966
BTC,5,2013-10-30 08:00:00,2013-11-10 00:00:00,9.306799073239393,10.666666666666666,4.22487899707653
BTC,5,2013-11-12 08:00:00,2013-11-19 12:00:00,6.911245131768897,7.166666666666667,8.114318309402782
BTC,5,2013-11-22 08:00:00,2013-12-01 08:00:00,2.659201111449876,9.0,16.166626618653847
BTC,5,2013-12-05 08:00:00,2013-12-05 08:00:00,-1.0175154063290655,0.0,7.90272587596849
BTC,5,2013-12-26 08:00:00,2013-12-28 16:00:00,-0.21187036061803535,2.3333333333333335,10.90915657513081
BTC,5,2014-01-02 08:00:00,2014-01-07 12:00:00,8.960808046343907,5.166666666666667,1.5405280192788906
BTC,5,2014-01-20 08:00:00,2014-01-20 12:00:00,-1.0671571537501703,0.16666666666666666,2.152703787600692
BTC,5,2014-02-02 08:00:00,2014-02-03 04:00:00,-1.0552810862943018,0.8333333333333334,2.9739864703576537
BTC,5,2014-03-04 08:00:00,2014-03-07 16:00:00,-0.9054991690617546,3.3333333333333335,8.746241487769446
BTC,5,2014-03-14 08:00:00,2014-03-14 08:00:00,-1.2253237479232848,0.0,0.6207771965887052
BTC,5,2014-04-15 08:00:00,2014-04-18 12:00:00,-0.2472805659848145,3.1666666666666665,16.518728774570285
BTC,5,2014-05-02 08:00:00,2014-05-02 08:00:00,-1.175665717465113,0.0,0.7960619159772734
BTC,5,2014-05-10 08:00:00,2014-05-11 12:00:00,-0.9483612986302965,1.1666666666666667,3.061237972669784
BTC,5,2014-05-17 08:00:00,2014-05-19 00:00:00,-0.9936505476525913,1.6666666666666667,0.908702179150909
BTC,5,2014-05-21 08:00:00,2014-05-27 08:00:00,1.857088730596621,6.0,5.862891807956308
BTC,5,2014-05-31 08:00:00,2014-06-04 08:00:00,0.4558267587660235,4.0,4.723274848655662
BTC,5,2014-06-18 08:00:00,2014-06-20 04:00:00,-1.0352107991863255,1.8333333333333333,4.309141761608855
BTC,5,2014-07-01 08:00:00,2014-07-04 08:00:00,-0.6710727717987686,3.0,6.147212617100514
BTC,5,2014-07-12 08:00:00,2014-07-13 16:00:00,-0.9563684396289412,1.3333333333333333,1.4720955298832559
BTC,5,2014-07-19 08:00:00,2014-07-20 00:00:00,-1.188725758603658,0.6666666666666666,0.846893516175649
BTC,5,2014-08-02 08:00:00,2014-08-03 04:00:00,-1.0715347201635008,0.8333333333333334,2.3001414046633424
BTC,5,2014-09-14 08:00:00,2014-09-14 08:00:00,-1.1838268271569654,0.0,0.7607586467846343
BTC,5,2014-09-24 08:00:00,2014-09-25 00:00:00,-1.137436474976413,0.6666666666666666,1.1624825470676983
BTC,5,2014-10-10 08:00:00,2014-10-16 08:00:00,0.5527114354590564,6.0,6.604276970692821
BTC,5,2014-11-06 08:00:00,2014-11-13 16:00:00,5.956428054821981,7.333333333333333,2.2645173012715887
BTC,5,2014-11-26 08:00:00,2014-11-26 16:00:00,-1.071540332221079,0.3333333333333333,2.0908740642258428
BTC,5,2014-12-15 08:00:00,2014-12-15 08:00:00,-1.1603855662886804,0.0,0.8718093614237347
BTC,5,2014-12-24 08:00:00,2014-12-24 16:00:00,-1.146215943960669,0.3333333333333333,1.0244785912133163
BTC,5,2015-01-20 08:00:00,2015-01-20 08:00:00,-1.1813087006267537,0.0,0.7713128875727782
BTC,5,2015-01-22 08:00:00,2015-01-27 08:00:00,1.3096344453303361,5.0,7.526620353069136
BTC,5,2015-02-03 08:00:00,2015-02-03 16:00:00,-1.0312511751842173,0.3333333333333333,4.769297144587144
BTC,5,2015-02-14 08:00:00,2015-02-15 16:00:00,-0.5392500316770391,1.3333333333333333,8.323215854920996
BTC,5,2015-02-21 08:00:00,2015-02-22 12:00:00,-0.8506105226415211,1.1666666666666667,2.4616043877774674
BTC,5,2015-02-28 08:00:00,2015-03-01 12:00:00,-1.0124625804099645,1.1666666666666667,3.0303681350018112
BTC,5,2015-03-02 08:00:00,2015-03-04 20:00:00,0.3342841012693323,2.5,5.367194777269039
BTC,5,2015-03-10 08:00:00,2015-03-13 08:00:00,-0.43770622263124426,3.0,3.2016495351915566
BTC,5,2015-04-03 08:00:00,2015-04-07 00:00:00,0.055831262930961356,3.6666666666666665,2.002579891700267
BTC,5,2015-04-22 08:00:00,2015-04-22 20:00:00,-1.0658446721579393,0.5,2.3468963496303332
BTC,5,2015-05-01 08:00:00,2015-05-02 08:00:00,-0.747031716853218,1.0,4.025598385399377
BTC,5,2015-05-04 08:00:00,2015-05-05 08:00:00,-0.7116229442964357,1.0,3.2405878702577517
BTC,5,2015-05-09 08:00:00,2015-05-12 08:00:00,-0.6806434739923596,3.0,4.535287274528897
BTC,5,2015-05-23 08:00:00,2015-05-25 08:00:00,-0.7614339535151792,2.0,2.0094301763058624
BTC,5,2015-06-09 08:00:00,2015-06-18 08:00:00,2.3216667916394385,9.0,1.8977488506651239
BTC,5,2015-06-28 08:00:00,2015-07-02 08:00:00,1.2752327412509656,4.0,1.5861264268119117
BTC,5,2015-07-06 08:00:00,2015-07-08 04:00:00,-1.0604709794901475,1.8333333333333333,3.2140572253602193
BTC,5,2015-07-11 08:00:00,2015-07-13 08:00:00,-0.34896110151210813,2.0,4.781442549423281
BTC,5,2015-07-25 08:00:00,2015-07-29 08:00:00,0.02358138732625456,4.0,2.0733361120253644
BTC,5,2015-08-29 08:00:00,2015-08-30 12:00:00,-0.4420552012700567,1.1666666666666667,4.591856859969341
BTC,5,2015-09-05 08:00:00,2015-09-09 08:00:00,3.720094514148009,4.0,0.7226144568067082
BTC,5,2015-09-19 08:00:00,2015-09-19 12:00:00,-1.2175902407843526,0.16666666666666666,0.6657782253134589
BTC,5,2015-09-25 08:00:00,2015-09-27 08:00:00,-0.7267431206376398,2.0,2.847905281639061
BTC,5,2015-09-29 08:00:00,2015-09-29 12:00:00,-1.1110794990182375,0.16666666666666666,1.3030252767065147
BTC,5,2015-10-06 08:00:00,2015-10-08 08:00:00,0.7728968296884551,2.0,0.728205002954529
BTC,5,2015-10-12 08:00:00,2015-10-12 12:00:00,-1.1400392956322962,0.16666666666666666,1.0339470071226244
BTC,5,2015-10-14 08:00:00,2015-10-19 08:00:00,2.1607855371289704,5.0,1.5361727781979428
BTC,5,2015-10-21 08:00:00,2015-10-21 08:00:00,-1.1341833873937905,0.0,1.0417954385220172
BTC,5,2015-10-23 08:00:00,2015-10-31 16:00:00,2.7850966327535995,8.333333333333334,3.6597481768650244
BTC,5,2015-11-03 08:00:00,2015-11-06 00:00:00,-0.33599680295982215,2.6666666666666665,9.189743675635837
BTC,5,2015-11-26 08:00:00,2015-12-01 08:00:00,2.3295674816211456,5.0,3.5445030583352377
BTC,5,2015-12-06 08:00:00,2015-12-12 04:00:00,0.7852651373583667,5.833333333333333,4.0844848216371545
BTC,5,2015-12-16 08:00:00,2015-12-16 16:00:00,-1.108651368108033,0.3333333333333333,1.3780258586288987
BTC,5,2016-01-02 08:00:00,2016-01-03 12:00:00,-0.6613540108980414,1.1666666666666667,0.9809191731676249
BTC,5,2016-01-08 08:00:00,2016-01-10 08:00:00,-1.1088686620547545,2.0,1.8337072833954762
BTC,5,2016-01-21 08:00:00,2016-01-22 04:00:00,-1.041001884226178,0.8333333333333334,4.0046712207195485
BTC,5,2016-02-05 08:00:00,2016-02-06 00:00:00,-1.0810301337190256,0.6666666666666666,1.969712379810214
BTC,5,2016-02-13 08:00:00,2016-02-23 08:00:00,3.624865203700221,10.0,2.79872197370667
BTC,5,2016-03-11 08:00:00,2016-03-12 04:00:00,-1.0770815921507413,0.8333333333333334,2.1350491806400607
BTC,5,2016-04-06 08:00:00,2016-04-07 00:00:00,-1.2805654847889099,0.6666666666666666,0.569870616825591
BTC,5,2016-04-12 08:00:00,2016-04-14 04:00:00,-0.8029459393503879,1.8333333333333333,0.7193220838794501
BTC,5,2016-04-16 08:00:00,2016-04-17 08:00:00,-0.9181833429403756,1.0,1.4311953538209263
BTC,5,2016-04-20 08:00:00,2016-04-27 12:00:00,4.599799940464247,7.166666666666667,1.003026030254357
BTC,5,2016-05-07 08:00:00,2016-05-10 08:00:00,-0.6681721558772395,3.0,1.5364313981950717
BTC,5,2016-05-25 08:00:00,2016-06-08 08:00:00,25.67755924376536,14.0,1.1011091970440767
BTC,5,2016-06-12 08:00:00,2016-06-20 12:00:00,2.9222913588247987,8.166666666666666,5.523504402497382
BTC,5,2016-07-01 08:00:00,2016-07-03 08:00:00,-0.2848458035855428,2.0,3.711722860045605
BTC,5,2016-07-13 08:00:00,2016-07-13 16:00:00,-1.0906799716885027,0.3333333333333333,1.65052868319692
BTC,5,2016-07-16 08:00:00,2016-07-16 12:00:00,-1.1182330163205343,0.16666666666666666,1.224320755350551
BTC,5,2016-07-18 08:00:00,2016-07-18 16:00:00,-1.0792191845058108,0.3333333333333333,1.888712417955226
BTC,5,2016-08-08 08:00:00,2016-08-09 08:00:00,-0.5348844785354065,1.0,1.3016595587706392
BTC,5,2016-08-21 08:00:00,2016-08-22 08:00:00,-1.1715872356124433,1.0,0.9895962257843206
BTC,5,2016-08-23 08:00:00,2016-08-23 08:00:00,-1.1086180912608823,0.0,1.286550778255739
