sym,N,t,exit,R,days,stop_pct
BTC,5,2014-05-10 08:00:00,2014-05-12 08:00:00,-1.2391889272559873,2.0,3.061237972669784
BTC,5,2014-05-17 08:00:00,2014-06-05 08:00:00,47.3658921301796,19.0,0.908702179150909
BTC,5,2014-06-18 08:00:00,2014-06-21 08:00:00,-1.0883783711569974,3.0,4.309141761608855
BTC,5,2014-07-01 08:00:00,2014-07-06 08:00:00,-0.46194779549089077,5.0,6.147212617100514
BTC,5,2014-07-12 08:00:00,2014-07-15 08:00:00,-1.803363244180507,3.0,1.4720955298832559
BTC,5,2014-07-19 08:00:00,2014-07-22 08:00:00,-1.458750014955045,3.0,0.846893516175649
BTC,5,2014-08-02 08:00:00,2014-08-06 08:00:00,-1.043400471089958,4.0,2.3001414046633424
BTC,5,2014-09-14 08:00:00,2014-09-15 08:00:00,-1.1053417061913025,1.0,0.7607586467846343
BTC,5,2014-09-24 08:00:00,2014-09-26 08:00:00,-3.512781071599092,2.0,1.1624825470676983
BTC,5,2014-10-10 08:00:00,2014-10-18 08:00:00,0.4247622257143562,8.0,6.604276970692821
BTC,5,2014-11-06 08:00:00,2014-11-16 08:00:00,6.792269976540143,10.0,2.2645173012715887
BTC,5,2014-11-26 08:00:00,2014-12-04 08:00:00,0.561817272647583,8.0,2.0908740642258428
BTC,5,2014-12-15 08:00:00,2014-12-16 08:00:00,-4.352203842404681,1.0,0.8718093614237347
BTC,5,2014-12-24 08:00:00,2014-12-25 08:00:00,-2.9449934344581252,1.0,1.0244785912133163
BTC,5,2015-01-20 08:00:00,2015-01-29 08:00:00,13.614800206194763,9.0,0.7713128875727782
BTC,5,2015-02-03 08:00:00,2015-02-05 08:00:00,-1.0798757687053917,2.0,4.769297144587144
BTC,5,2015-02-14 08:00:00,2015-02-16 08:00:00,-0.7765902391290805,2.0,8.323215854920996
BTC,5,2015-02-21 08:00:00,2015-02-23 08:00:00,-1.7724176702611818,2.0,2.4616043877774674
BTC,5,2015-02-28 08:00:00,2015-03-09 08:00:00,3.3696002578922535,9.0,3.0303681350018112
BTC,5,2015-03-10 08:00:00,2015-03-14 08:00:00,-0.6457875361586175,4.0,3.2016495351915566
BTC,5,2015-04-03 08:00:00,2015-04-08 08:00:00,-0.032304013808821655,5.0,2.002579891700267
