Datetime,o,h,l,c,v
2026-07-17 14:30:00,871.7449951,880.5858765,846.6699829,856.4550171,8841328
2026-07-17 15:30:00,856.4550171,892,852.6400146,885.0549927,8031962
2026-07-17 16:30:00,885.0549927,903.9299927,881,896.960022,6001017
2026-07-17 17:30:00,896.539978,897.75,870.5300293,875.4000244,5675219
2026-07-17 18:30:00,875.4000244,880.5900269,856.5200195,864.2150269,5626763
2026-07-17 19:30:00,864.3200073,868.9299927,848.4299927,848.9500122,4509415
2026-07-20 13:30:00,885.5700073,898.960022,866,880.010498,11218513
2026-07-20 14:30:00,880.4500122,886.9899902,868,886.210022,4541158
2026-07-20 15:30:00,886.039978,900.9998779,879.5300293,894.3699951,4697381
2026-07-20 16:30:00,894.5100098,895.9000244,885.5900269,889.0999756,3539505
2026-07-20 17:30:00,889.2999878,889.8699951,877.3300171,877.7449951,2698720
2026-07-20 18:30:00,877.9840088,877.9840088,858.9000244,864.0684814,4219721
2026-07-20 19:30:00,864.0949707,867.7653809,859.5100098,866.2999878,3099347
2026-07-21 13:30:00,925.3499756,945.4500122,916.5701294,927.6049805,13772229
2026-07-21 14:30:00,927.460022,958.5,927.210022,955.7249756,7345644
2026-07-21 15:30:00,955.7249756,973.7800293,950.5001221,969.5800171,5743442
2026-07-21 16:30:00,969.7299805,982.8800049,968.75,975.125,5365245
2026-07-21 17:30:00,975.3400269,979.6799927,970.3599854,971.1900024,3610354
2026-07-21 18:30:00,971.1900024,975.9998779,960.8499756,962.0100098,4253898
2026-07-21 19:30:00,962.8800049,975,962.7999878,969.7800293,4296331
2026-07-22 13:30:00,938.4349976,978.9998779,936.0599976,972.5900269,11293004
2026-07-22 14:30:00,972.9099731,977.1699829,963.2299805,973.0200195,3910354
2026-07-22 15:30:00,973.0650024,978.8400269,968.2299805,974.1950073,2531095
2026-07-22 16:30:00,974.4000244,982.6199951,970.0200195,980.1956787,2465564
2026-07-22 17:30:00,980,981.1900024,967.5701294,968.375,2185397
2026-07-22 18:30:00,968.4899902,974.4000244,964.2199707,972.7750244,2372586
2026-07-22 19:30:00,972.7700195,979.289978,957.8300171,959.5200195,3026706
2026-07-23 13:30:00,975.2299805,1001.424988,964.4000244,999,12378153
2026-07-23 14:30:00,998.7999878,1000.359985,978.8200073,981.7349854,5652890
2026-07-23 15:30:00,981.9899902,1005.98999,980.0100098,1004.460022,4654103
2026-07-23 16:30:00,1004.349976,1011.77002,989.6199951,1000.505005,4517263
2026-07-23 17:30:00,1000,1001.419983,988.4810791,992.3200073,2681603
2026-07-23 18:30:00,992.2999878,995.8900146,979.4450073,993.1799927,3669400
2026-07-23 19:30:00,992.8649902,994.5499878,976.0499878,990.2399902,3453741
2026-07-24 13:30:00,959.0300293,967.1254883,919.539978,935.0390015,11601583
2026-07-24 14:30:00,934.5501099,942.9899902,919.6699829,934.5,5113637
2026-07-24 15:30:00,934,951.5150146,932.5601196,941.5100098,3565720
2026-07-24 16:30:00,941.4749756,943.2000122,928.8200073,937.210022,2951823
2026-07-24 17:30:00,937.7000122,939.4000244,914.3234863,916.0750122,3193854
2026-07-24 18:30:00,916.2999878,917.6799927,904,914.2800293,5125172
2026-07-24 19:30:00,914.4000244,924.289978,906.8599854,920.1599731,4258721
2026-07-27 13:30:00,932.4450073,935,866.5,867.7053223,13290051
2026-07-27 14:30:00,867.8900757,881.5300293,854.789978,869.7698975,8783311
2026-07-27 15:30:00,869.3800049,887.7700195,863.5100098,881.3400269,4982020
2026-07-27 16:30:00,881.4099731,885.2993774,865.789978,868.9450073,4197845
2026-07-27 17:30:00,868.960022,887.7199707,868.3200073,884.6550293,3480981
2026-07-27 18:30:00,884.6550293,897.7399902,877.6300049,897.664978,4223525
2026-07-27 19:30:00,897.7700195,901.1799927,884.7800293,900.960022,3331788
2026-07-28 13:30:00,840.4699707,847.9569702,789.0900269,802.5300293,20435839
2026-07-28 14:30:00,802.25,824.8699951,800.460083,818.6300049,8500302
2026-07-28 15:30:00,818.539978,832,816.2800903,824.539978,5751532
2026-07-28 16:30:00,824.5,827.9799805,817,819.8900146,3809336
2026-07-28 17:30:00,819.7600098,823.5599976,810.9000854,815.2700806,4081911
2026-07-28 18:30:00,815.3203735,831,815.0900269,829.4000244,4207570
2026-07-28 19:30:00,829.5,831,818.2299805,820.6799927,4110807
2026-07-29 13:30:00,832.9199829,841.7999878,784.2000122,787.4432983,15008024
2026-07-29 14:30:00,787.6550293,798.1799927,776.4901123,781.5819702,6912400
2026-07-29 15:30:00,781.2199707,783.5499878,758.6799927,774.2199707,7233387
2026-07-29 16:30:00,774.0300293,783.9400024,767.3400269,771,5840202
